,id,nama,badge,link,harga,diskon,harga_asli,gambar,review_count,review_avg
222,7466611763,ACER PH315-54-79WU[15.6/i7-11800H/16G/512G/RTX3070/W11]NHQC1SN002,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-ph315-54-79wu-15-6-i7-11800h-16g-512g-rtx3070-w11-nhqc1sn002-tanpa-bundling?extParam=whid%3D2155150,Rp 25.999.000,10,Rp 28.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/3/17/e1bb377a-b5d4-4fbd-997b-f33674063c76.jpg,1,
223,2810468321,"ACER SF514-55TA-75FG [14""FHD/i7-1165G7/16GB/1TB/EVO/Win11]NX.A6SSN.009",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-sf514-55ta-75fg-14-fhd-i7-1165g7-16gb-1tb-evo-win11-nx-a6ssn-009?extParam=whid%3D2155150,Rp 25.029.000,1,Rp 25.299.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/4/10/48d43e26-0dab-4d44-a4d2-2889644c5248.jpg,1,
224,2810326139,"ACER SF314-511-76QK [14""FHD/i7-1165G7/16G/512G/W11/EVO/SIL]NX.ABNSN00D",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-sf314-511-76qk-14-fhd-i7-1165g7-16g-512g-w11-evo-sil-nx-abnsn00d?extParam=whid%3D2155150,Rp 14.699.000,8,Rp 15.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/e0ec3562-54a2-4853-be67-da7786a755c2.jpg,12,
225,2672670798,ACER SF314-511-54Y9 [14FHD/i5-1135G7/16G/512G/EVO/Win11] NXABNSN00C,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-sf314-511-54y9-14fhd-i5-1135g7-16g-512g-evo-win11-nxabnsn00c?extParam=whid%3D2155150,Rp 11.779.000,9,Rp 12.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/942edb0e-bf2a-4bfb-8e95-33ad40540e67.jpg,36,
226,2452005699,"ACER Aspire 3 A314-35-C03Y [14""/N5100/4GB/HDD 1TB/W11] NX.A7SSN.00D",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-3-a314-35-c03y-14-n5100-4gb-hdd-1tb-w11-nx-a7ssn-00d?extParam=whid%3D2155150,Rp 4.899.000,14,Rp 5.699.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/1/fcb6540e-2701-4459-8814-6c27c04d1926.jpg,28,
227,2230680758,"ACER PH315-54-724L [15.6""/i7-11800H/16GB/512GB] NH.QC2SN.001",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-ph315-54-724l-15-6-i7-11800h-16gb-512gb-nh-qc2sn-001?extParam=whid%3D2155150,Rp 21.999.000,6,Rp 23.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/3/17/e585ffef-fb59-43a3-ac5f-8f84ae0fcbbe.jpg,13,
228,2230467383,ACER A514-54-59U2 [14/i5-1135G7/8G/512G] NX.A2ASN.002,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-a514-54-59u2-14-i5-1135g7-8g-512g-nx-a2asn-002?extParam=whid%3D2155150,Rp 8.499.000,17,Rp 10.199.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/30/aa06c07e-cba0-40bd-8945-46dbd98ac4b3.png,1,
229,2175300985,ACER Swift 3 Infinity 4 SF314-511-57RH [i5-1135G7/16/512]NX.ACTSN.008,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-swift-3-infinity-4-sf314-511-57rh-i5-1135g7-16-512-nx-actsn-008?extParam=whid%3D2155150,Rp 12.129.000,7,Rp 12.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/6/7d7842c9-211e-4781-ba0e-a9213af8c03b.jpg,7,
230,2108538721,ACER NITRO XV272U_P [UM.HX2SN.P01],Official Store,https://www.tokopedia.com/acerstoreofficial/acer-nitro-xv272u-p-um-hx2sn-p01?extParam=whid%3D2155150,Rp 5.209.000,11,Rp 5.850.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/18/3d922815-9ff8-4cbd-998e-c29435110a72.png,0,
231,2073371680,ADD PACKING KAYU,Official Store,https://www.tokopedia.com/acerstoreofficial/add-packing-kayu?extParam=whid%3D2155150,Rp 40.000,0,,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/18/a0e06447-3d97-4e50-b82a-2ad18100f5a6.png,307,
